,price,totsp,livesp,kitsp,dist,metrdist,walk,brick,floor,code
0,0.20951501454263122,0.16332217705160867,0.30547564888405,0.050000000000000044,0.6785714285714285,0.5169953326656691,1,1,1,0.2857142857142857
1,0.17609125905568113,0.0,0.0,0.050000000000000044,0.7499999999999999,0.5169953326656691,1,0,1,0.7142857142857142
2,0.40823996531184936,0.28813010595705113,0.347262175557975,0.050000000000000044,0.8214285714285713,0.22996600290867986,1,1,1,0.2857142857142857
3,0.27875360095282886,0.19564948117388026,0.23870518217991288,0.050000000000000044,0.7499999999999999,0.5169953326656691,1,0,1,0.0
4,0.8195439355418686,0.5925651225889286,0.6527378244420246,0.30000000000000004,0.5357142857142857,0.5169953326656691,0,1,1,0.2857142857142857
5,0.43775056282038816,0.34650871846821985,0.4965878149904208,0.2,0.5714285714285714,0.5169953326656691,1,1,1,1.0
6,0.29225607135647635,0.17418889111848967,0.28379211334629373,0.050000000000000044,0.3214285714285714,0.6792566110800579,0,0,1,1.0
7,0.24551266781414993,0.13014743834355036,0.21523922371799964,0.050000000000000044,0.4285714285714285,0.3882976552584404,1,1,0,0.42857142857142855
8,0.6532125137753437,0.3841548709741447,0.59364861017563,0.2,0.4285714285714285,0.3882976552584404,1,1,1,0.2857142857142857
9,0.4471580313422192,0.4389012459674837,0.5135478524859298,0.25,0.6928571428571427,0.6792566110800579,1,0,1,0.5714285714285714
10,0.42160392686983106,0.5260609177768352,0.59364861017563,0.3500000000000001,0.5357142857142857,0.5169953326656691,0,0,1,0.2857142857142857
11,0.36172783601759284,0.35601134822329095,0.4965878149904208,0.2,0.035714285714285726,0.5169953326656691,1,0,0,0.8571428571428572
12,0.45331834004703775,0.28813010595705113,0.44359438379500693,0.15000000000000002,0.3214285714285714,0.3882976552584404,1,0,1,0.2857142857142857
13,0.22530928172586284,0.21676104874853186,0.38710442465245043,0.10000000000000003,0.8214285714285713,0.6792566110800579,0,0,1,0.2857142857142857
14,0.3010299956639815,0.2478097165253348,0.36741496197343526,0.10000000000000003,0.6428571428571428,0.5169953326656691,0,0,1,0.8571428571428572
15,0.3424226808222064,0.3369433630413914,0.4965878149904208,0.25,0.7499999999999999,0.6792566110800579,0,0,1,0.7142857142857142
16,0.5314789170422551,0.44783771525380156,0.6237027080922655,0.15000000000000002,0.3214285714285714,0.5169953326656691,1,1,1,0.2857142857142857
17,0.5440680443502759,0.37483326395486327,0.4965878149904208,0.2,0.10714285714285712,0.0,1,1,0,1.0
18,0.2833012287035497,0.18496389803771995,0.36741496197343526,0.050000000000000044,0.6428571428571428,0.9025172702761631,1,0,1,0.8571428571428572
19,0.3424226808222064,0.4299126676635905,0.5625013992759746,0.25,0.21428571428571427,0.6792566110800579,0,1,1,0.7142857142857142
20,0.5314789170422551,0.42087105801884506,0.5782165907588217,0.30000000000000004,0.0,0.9025172702761631,1,1,0,0.0
21,0.3979400086720377,0.20624783068189756,0.30547564888405,0.15000000000000002,0.6785714285714285,0.3882976552584404,1,0,1,0.14285714285714285
22,0.4313637641589876,0.3078581395194735,0.5135478524859298,0.15000000000000002,0.4285714285714285,0.3882976552584404,1,1,1,0.2857142857142857
23,0.27875360095282886,0.16332217705160867,0.2615453065577631,0.050000000000000044,0.6428571428571428,0.5743810035318209,1,0,1,0.0
24,0.4712917110589385,0.49176891494448394,0.6668944096604523,0.25,0.5357142857142857,0.9025172702761631,1,1,1,0.8571428571428572
25,0.049218022670181716,0.2681181720201693,0.36741496197343526,0.10000000000000003,0.7499999999999999,0.6792566110800579,0,1,1,0.7142857142857142
26,0.4313637641589876,0.40262491658037525,0.4251753103317588,0.4,0.6428571428571428,0.3882976552584404,1,0,1,0.5714285714285714
27,0.414973347970818,0.3176193973832522,0.5301785479639483,0.10000000000000003,0.5714285714285714,0.3882976552584404,1,1,1,1.0
28,0.15836249209524977,0.06096391117308708,0.16628567692795482,0.050000000000000044,0.2857142857142857,0.6792566110800579,0,0,1,0.5714285714285714
29,0.4048337166199383,0.4299126676635905,0.4251753103317588,0.45000000000000007,0.6428571428571428,0.5169953326656691,1,1,1,0.5714285714285714
30,0.4471580313422192,0.2375400883338561,0.38710442465245043,0.15000000000000002,0.10714285714285712,0.3882976552584404,1,0,1,1.0
31,0.3502480183341625,0.3176193973832522,0.5135478524859298,0.15000000000000002,0.5357142857142857,0.5169953326656691,0,1,1,0.2857142857142857
32,0.38021124171160614,0.41177546717624014,0.59364861017563,0.25,0.6428571428571428,0.9025172702761631,1,1,1,0.5714285714285714
